titles;anzahl;categories;url;detail_zusammensetzung
Propublica,ProPublica;10;News;http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion;ID:870 (Propublica),ID:929 (ProPublica),ID:948 (ProPublica),ID:949 (ProPublica),ID:981 (ProPublica),ID:1179 (ProPublica),ID:1234 (ProPublica),ID:1319 (ProPublica),ID:1417 (ProPublica),ID:558 (ProPublica)
Dread,dread;10;Soziale Netzwerke,Foren;http://dreadytofatroptsdj6io7l3xptbet6onoyno2yv7jicoxknyazubrad.onion;ID:251 (Dread),ID:592 (Dread),ID:918 (Dread),ID:942 (Dread),ID:1086 (Dread),ID:1168 (Dread),ID:1204 (dread),ID:1339 (Dread),ID:1421 (Dread),ID:544 (Dread)
Whonix OS,Whonix,Whonix Home;9;Security And Privacy;http://dds6qkxpwdeubwucdiaord2xgbbeyds25rbsgr73tbfpqpt4a6vjwsyd.onion;ID:225 (Whonix OS),ID:652 (Whonix OS),ID:850 (Whonix),ID:906 (Whonix),ID:957 (Whonix),ID:1155 (Whonix),ID:1329 (Whonix),ID:1383 (Whonix),ID:582 (Whonix Home)
CIA.gov,CIA.GOV,Official CIA,the cia's onion official onion site,CIA,US Central Intelligence Agency;9;Ohne Kategorie;http://ciadotgov4sjwlzihbbgxnqg3xiyrg7so2r2o3lt5wz5ypk4sxyjstad.onion;ID:597 (CIA.gov),ID:873 (CIA.GOV),ID:951 (Official CIA),ID:982 (CIA.GOV),ID:1090 (CIA.gov),ID:1197 (the cia's onion official onion site),ID:1215 (CIA),ID:1363 (CIA.gov),ID:550 (US Central Intelligence Agency)
The Hidden Wiki 6 (Mirror),The original hidden wiki,The Original Hidden Wiki,The Hidden Wiki,This is Hidden Wiki,TheHiddenWiki,Hidden Wiki;8;Linkverzeichnis,Index;http://zqktlwiuavvvqqt4ybvgvi7tyo4hjl5xgfuvpdf6otjiycgwqbym2qad.onion;ID:131 (The Hidden Wiki 6 (Mirror)),ID:839 (The original hidden wiki),ID:968 (The Original Hidden Wiki),ID:1246 (The Hidden Wiki),ID:1249 (The Original Hidden Wiki),ID:1371 (This is Hidden Wiki),ID:1373 (TheHiddenWiki),ID:540 (Hidden Wiki)
Cryptostorm VPN,CryptoStorm VPN,CryptoStorm,Cryptostorm;8;Security And Privacy;http://stormwayszuh4juycoy4kwoww5gvcu2c4tdtpkup667pdwe4qenzwayd.onion;ID:663 (Cryptostorm VPN),ID:859 (CryptoStorm VPN),ID:976 (Cryptostorm VPN),ID:1111 (CryptoStorm),ID:1190 (CryptoStorm VPN),ID:1212 (Cryptostorm),ID:1289 (Cryptostorm),ID:1378 (CryptoStorm VPN)
EndChan,Endchan;8;Chans,Soziale Netzwerke,Foren;http://enxx3byspwsdo446jujc52ucy2pf5urdbhqw3kbsfhlfjwmbpj5smdad.onion;ID:293 (EndChan),ID:595 (Endchan),ID:854 (EndChan),ID:979 (EndChan),ID:1094 (Endchan),ID:1237 (Endchan),ID:1286 (Endchan),ID:1422 (EndChan)
Mail2Tor,Mail2Tor@onion,Mail2tor;7;Email Anbieter;http://mail2torjgmxgexntbrmhvgluavhj7ouul5yar6ylbvjkxwqf6ixkwyd.onion;ID:682 (Mail2Tor),ID:913 (Mail2Tor),ID:1119 (Mail2Tor),ID:1163 (Mail2Tor),ID:1209 (Mail2Tor),ID:1296 (Mail2Tor@onion),ID:1381 (Mail2tor)
Keybase,KeyBase.IO,KeyBase;7;Security And Privacy,Cryptocurrency,Soziale Netzwerke,Ohne Kategorie;http://keybase5wmilwokqirssclfnsqrjdsi7jdir5wy7y7iu3tanwmtp6oid.onion;ID:230 (Keybase),ID:872 (KeyBase.IO),ID:923 (Keybase),ID:993 (KeyBase.IO),ID:1173 (Keybase),ID:1331 (KeyBase.IO),ID:1440 (KeyBase)
DEF CON Forum,Defcon,DEF CON,DEF CON Conference;7;Security And Privacy,Conventions;http://g7ejphhubv5idbbu3hb3wawrs5adw7tkx7yjabnf65xtzztgg4hcsqqd.onion;ID:654 (DEF CON Forum),ID:869 (Defcon),ID:909 (DEF CON),ID:959 (DEF CON),ID:1159 (DEF CON Conference),ID:1318 (Defcon),ID:578 (DEF CON)
Bible4u;7;Ohne Kategorie;http://bible4u2lvhacg4b3to2e2veqpwmrc2c3tjf2wuuqiz332vlwmr4xbad.onion;ID:596 (Bible4u),ID:875 (Bible4u),ID:932 (Bible4u),ID:986 (Bible4u),ID:1182 (Bible4u),ID:1366 (Bible4u),ID:1439 (Bible4u)
systemli,SystemLI.org,Systemli,SystemLI;7;Hosting Anbieter,Ohne Kategorie,Email Anbieter,Soziale Netzwerke;http://7sk2kov2xwx6cbc32phynrifegg6pklmzs7luwcggtzrnlsolxxuyfyd.onion;ID:685 (systemli),ID:858 (SystemLI.org),ID:963 (SystemLI.org),ID:1118 (SystemLI.org),ID:1195 (Systemli),ID:1288 (SystemLI),ID:547 (Systemli)
Riseup,Rise Up,Riseup Onion Index,Riseup.net,Riseup Home;6;Email Anbieter,News,Security And Privacy,Soziale Netzwerke;http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion;ID:671 (Riseup),ID:950 (Rise Up),ID:1194 (Riseup Onion Index),ID:1200 (Riseup.net),ID:1287 (Riseup),ID:546 (Riseup Home)
SecureDrop;6;File Sharing,News;http://sdolvtfhatvsysc6l34d65ymdwxcujausv7k5jk4cy5ttzhjoi6fzvyd.onion;ID:668 (SecureDrop),ID:926 (SecureDrop),ID:1105 (SecureDrop),ID:1176 (SecureDrop),ID:1222 (SecureDrop),ID:1397 (SecureDrop)
Protonmail,ProtonMail,Proton Mail;6;Email Anbieter;http://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion;ID:666 (Protonmail),ID:911 (ProtonMail),ID:1161 (ProtonMail),ID:1201 (Proton Mail),ID:1298 (ProtonMail),ID:1384 (Protonmail)
Elude.in,EludeMail,Elude,Elude Mail;6;Email Anbieter;http://eludemailxhnqzfmxehy3bk5guyhlxbunfyhkcksv4gvx6d3wcf6smad.onion;ID:861 (Elude.in),ID:915 (EludeMail),ID:964 (Elude.in),ID:1165 (Elude),ID:1293 (Elude Mail),ID:1389 (Elude.in)
Darknet Live,DarkNetLive,Darknetlive,Tor News;6;News;http://darkzzx4avcsuofgfez5zq75cqc4mprjvfqywo45dfcaxrwqg6qrlfid.onion;ID:334 (Darknet Live),ID:736 (DarkNetLive),ID:871 (Darknetlive),ID:967 (Darknetlive),ID:1085 (Tor News),ID:1320 (DarkNetLive)
BlackCloud,Black Cloud;6;File Sharing,Hosting Anbieter;http://bcloudwenjxgcxjh6uheyt72a5isimzgg4kv5u74jb2s22y3hzpwh6id.onion;ID:670 (BlackCloud),ID:688 (BlackCloud),ID:1102 (BlackCloud),ID:1221 (Black Cloud),ID:1315 (BlackCloud),ID:1395 (BlackCloud)
Tordex,TorDex;5;Suchmaschinen;http://tordexu73joywapk2txdr54jed4imqledpcvcuf75qsas2gwdgksvnyd.onion;ID:3 (Tordex),ID:633 (Tordex),ID:886 (TorDex),ID:1135 (TorDex),ID:1243 (TorDex)
SporeStack;5;Hosting Anbieter;http://spore64i5sofqlfz5gq2ju4msgzojjwifls7rok2cti624zyq3fcelad.onion;ID:190 (SporeStack),ID:753 (SporeStack),ID:1210 (SporeStack),ID:1303 (SporeStack),ID:1410 (SporeStack)
Ableonion,Ableonion Chat,Random,AbleOnion Chat;5;Chatrooms,IRC,Chat Rooms;http://notbumpz34bgbz4yfdigxvd6vzwtxc3zpt5imukgl6bvip2nikdmdaad.onion;ID:283 (Ableonion),ID:1357 (Ableonion),ID:1401 (Ableonion Chat),ID:586 (Random),ID:587 (AbleOnion Chat)
Njalla VPN,Njalla,Njalla VPN ;5;Security And Privacy,Hosting Anbieter;http://njallalafimoej5i4eg7vlnqjvmb6zhdh27qxcatdn647jtwwwui3nad.onion;ID:664 (Njalla VPN),ID:747 (Njalla),ID:1211 (Njalla),ID:1305 (Njalla),ID:1398 (Njalla VPN )
Ahima,Ahmia.fi,Ahmia;5;Suchmaschinen,Suchmaschine;http://juhanurmihxlp77nkq76byazcldy2hlmovfu2epvl5ankdibsot4csyd.onion;ID:615 (Ahima),ID:1199 (Ahima),ID:1272 (Ahmia.fi),ID:1375 (Ahmia),ID:537 (Ahima)
Haystak,Haystack;5;Suchmaschinen,Search Engine;http://haystak5njsmn2hqkewecpaxetahtwhsbsa64jom2k22z5afxhnpxfid.onion;ID:617 (Haystak),ID:892 (Haystak),ID:1141 (Haystak),ID:1245 (Haystack),ID:541 (Haystack)
DuckDuckGo;5;Suchmaschinen,Suchmaschine;http://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion;ID:611 (DuckDuckGo),ID:895 (DuckDuckGo),ID:1144 (DuckDuckGo),ID:1244 (DuckDuckGo),ID:1376 (DuckDuckGo)
Archive.today,Webpage archive;5;Suchmaschinen,Ohne Kategorie;http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion;ID:629 (Archive.today),ID:910 (Webpage archive),ID:1160 (Webpage archive),ID:1217 (Archive.today),ID:1444 (Archive.today)
OnionLand Search,OnionLand search engine,onionland;5;Suchmaschinen,Linkverzeichnis;http://3bbad7fauom4d6sgppalyqddsqbf5u5p56b5k5uk2zxsy3d6ey2jobad.onion;ID:619 (OnionLand Search),ID:1084 (OnionLand search engine),ID:1196 (onionland),ID:1196 (onionland),ID:1278 (OnionLand Search)
Excavator;5;Suchmaschinen;http://2fd6cemt4gmccflhm6imvdfvli3nf7zn6rfrwpsy7uhxrgbypvwf5fad.onion;ID:1 (Excavator),ID:616 (Excavator),ID:896 (Excavator),ID:1082 (Excavator),ID:1145 (Excavator)
The Hidden Wiki 6,The Hidden Wiki,Jiskopedia;4;Linkverzeichnis;http://zqktlwi4fecvo6ri.onion;ID:130 (The Hidden Wiki 6),ID:756 (The Hidden Wiki),ID:813 (The Hidden Wiki),ID:833 (Jiskopedia)
Cock.li (Mirror),Cock.li;4;Email Anbietrer,Email Anbieter;http://xdkriz6cn2avvcr2vks5lvvtmfojz2ohjzj4fhyuka55mvljeso2ztqd.onion;ID:183 (Cock.li (Mirror)),ID:860 (Cock.li),ID:974 (Cock.li),ID:1292 (Cock.li)
